Sim Run,Average Delay (s),Total Travel Time (s),Total Arrived Vehicles,Average CO2 (g/vehicle),Total CO2 (kg),model,group
0,129.075578,1278251,4191,512.1569721,2146.44987,FC,Low
1,143.012502,1368081,4229,525.5152316,2222.403914,FC,Low
2,141.513679,1367268,4245,523.8410377,2223.705205,FC,Low
3,137.013146,1343314,4223,522.3649408,2205.947145,FC,Low
4,143.467013,1405592,4326,526.2815644,2276.694048,FC,Low
5,138.269673,1373116,4282,521.7244348,2234.02403,FC,Low
6,145.340567,1415524,4260,529.8019003,2256.956095,FC,Low
7,153.24946,1477509,4291,536.1237417,2300.506976,FC,Low
8,142.319916,1426380,4406,525.0908291,2313.550193,FC,Low
9,150.709109,1440499,4293,533.5679143,2290.607056,FC,Low
10,148.052101,1431499,4334,529.1140588,2293.180331,FC,Low
11,140.851192,1377451,4355,522.1677812,2274.040687,FC,Low
12,135.255594,1318133,4250,517.2653991,2198.377946,FC,Low
13,139.760458,1321969,4187,521.9702289,2185.489348,FC,Low
14,126.413426,1258466,4188,510.385608,2137.494926,FC,Low
15,127.93519,1270218,4232,511.662416,2165.355344,FC,Low
16,134.349917,1312592,4221,517.6571888,2185.030994,FC,Low
17,140.008291,1334896,4171,523.1473279,2182.047505,FC,Low
18,132.793611,1320270,4276,516.6010596,2208.986131,FC,Low
19,140.960709,1366056,4265,522.7152099,2229.38037,FC,Low
0,126.0524128,1283388,4443,479.3961554,2129.957118,AC,Low
1,135.5103969,1357004,4475,487.5740713,2181.893969,AC,Low
2,131.909085,1344247,4509,484.3799424,2184.06916,AC,Low
3,131.5291236,1344507,4480,486.5365314,2179.683661,AC,Low
4,133.7276436,1384254,4641,486.3366599,2257.088439,AC,Low
5,134.1125214,1376835,4585,487.6555864,2235.900864,AC,Low
6,136.7964149,1404207,4602,490.6332612,2257.894268,AC,Low
7,139.0466484,1441821,4652,492.1938367,2289.685728,AC,Low
8,134.1143618,1416713,4734,487.211866,2306.460974,AC,Low
9,139.9623693,1430479,4703,492.0315671,2314.02446,AC,Low
10,145.3258659,1448843,4629,494.2551712,2287.907187,AC,Low
11,138.0239256,1393969,4615,489.4107539,2258.630629,AC,Low
12,141.1369866,1379581,4472,492.4569128,2202.267314,AC,Low
13,128.1458381,1281373,4345,480.5974328,2088.195846,AC,Low
14,140.3629047,1354483,4366,492.7671332,2151.421304,AC,Low
15,127.3639113,1291800,4459,481.0729377,2145.104229,AC,Low
16,134.9821748,1339529,4480,488.341402,2187.769481,AC,Low
17,130.2351198,1311117,4431,483.944516,2144.35815,AC,Low
18,128.3732684,1316984,4424,483.9209822,2140.866425,AC,Low
19,131.5251561,1340983,4448,484.4743091,2154.941727,AC,Low
0,102.0121729,1150072,4387,458.4767864,2011.337662,EcoMRL,Low
1,99.19470348,1155696,4494,455.5138378,2047.079187,EcoMRL,Low
2,101.8133602,1178929,4510,458.046622,2065.790265,EcoMRL,Low
3,97.54849812,1149032,4447,455.8201341,2027.032136,EcoMRL,Low
4,101.3855736,1198947,4611,457.7005316,2110.457151,EcoMRL,Low
5,102.9204341,1199392,4569,459.7002023,2100.370224,EcoMRL,Low
6,97.45169912,1179504,4600,454.8846206,2092.469255,EcoMRL,Low
7,100.0450236,1212754,4651,456.5793395,2123.550508,EcoMRL,Low
8,97.2057539,1198203,4687,453.7446927,2126.701375,EcoMRL,Low
9,103.302737,1209876,4622,459.9738286,2125.999036,EcoMRL,Low
10,105.3107293,1221850,4613,460.3524451,2123.605829,EcoMRL,Low
11,111.3042768,1234367,4523,466.5394568,2110.157963,EcoMRL,Low
12,96.24393248,1130990,4466,452.6977812,2021.748291,EcoMRL,Low
13,97.41867983,1118015,4393,453.9935555,1994.39369,EcoMRL,Low
14,93.75614635,1103145,4377,451.062147,1974.299017,EcoMRL,Low
15,94.95724657,1114543,4423,451.959573,1999.017192,EcoMRL,Low
16,99.40443479,1142524,4412,456.6401834,2014.696489,EcoMRL,Low
17,93.39096082,1108868,4429,450.580612,1995.62153,EcoMRL,Low
18,94.77737418,1134940,4489,452.1387604,2029.650895,EcoMRL,Low
19,93.50492738,1134157,4514,449.7171802,2030.023351,EcoMRL,Low
0,168.762795,1828065,4911,578.4473498,2840.754935,FC,Medium
1,174.077247,1872574,4965,583.7430248,2898.284118,FC,Medium
2,176.228813,1893975,4973,586.2562304,2915.452234,FC,Medium
3,183.597186,1932620,4847,596.0775529,2889.187899,FC,Medium
4,178.181278,1947511,5035,588.377747,2962.481956,FC,Medium
5,178.041617,1927189,4993,587.5404283,2933.589358,FC,Medium
6,185.92537,1976262,4900,598.2702712,2931.524329,FC,Medium
7,186.295567,2029284,5083,596.4010005,3031.506286,FC,Medium
8,185.346931,2017060,5063,595.1270017,3013.12801,FC,Medium
9,191.171531,2022066,4996,603.4782202,3014.977188,FC,Medium
10,188.357687,2025092,5032,597.7756132,3008.006886,FC,Medium
11,178.023748,1927086,5072,587.4904112,2979.751366,FC,Medium
12,176.607913,1876235,4892,585.2540787,2863.062953,FC,Medium
13,184.981957,1907364,4837,593.2877525,2869.732859,FC,Medium
14,167.4739,1816148,4910,577.730616,2836.657325,FC,Medium
15,171.586617,1832043,4867,581.0613434,2828.025558,FC,Medium
16,179.091762,1886292,4795,590.4133345,2831.031939,FC,Medium
17,177.71173,1882147,4906,588.2542512,2885.975356,FC,Medium
18,176.43611,1911798,5005,587.0904284,2938.387594,FC,Medium
19,173.18897,1891930,4995,583.0484033,2912.326774,FC,Medium
0,143.3445942,1713789,5377,500.6066933,2691.76219,AC,Medium
1,151.3937785,1779898,5387,508.1145083,2737.212856,AC,Medium
2,160.8678653,1847992,5452,515.5218812,2810.625296,AC,Medium
3,152.1249522,1789071,5410,508.9133301,2753.221116,AC,Medium
4,165.5944718,1900138,5416,520.9058592,2821.226134,AC,Medium
5,165.9005258,1894180,5382,520.4333399,2800.972235,AC,Medium
6,151.408552,1827429,5480,510.1096021,2795.40062,AC,Medium
7,156.3987538,1887283,5580,512.6601224,2860.643483,AC,Medium
8,156.8785142,1891688,5667,512.1404269,2902.2998,AC,Medium
